ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
187.955,0.869322,263.563,112.135,1.72333,324.651,17.8524,108.778,1.26958,0.855286,1301.37,0.0678964,0.142599,0,0.582192,262.052,3.62988
207.356,-1.31927,415.545,195.071,-1.08903,323.005,15.3029,153.342,1.11515,0.526522,870.914,0.353358,0.848617,0.228833,0.804382,257.738,2.54399
159.635,-0.0205488,159.669,433.181,-1.08899,717.032,28.9836,698.683,2.91179,2.44586,816.617,0,0.228197,0.452995,0.575213,1.88488,0.0107742
163.879,-0.594864,193.74,264.299,-1.85729,867.511,22.2843,327.91,1.60101,2.71055,1166.54,0.270411,0.277918,0.48509,0.578619,172.895,1.82583
145.12,0.034404,145.206,291.631,-1.06283,473.411,30.2127,335.518,2.16751,1.11681,713.303,0.474971,0.479222,0.423084,0.515463,49.8826,0.432037
131.452,0.700242,165.019,427.651,0.70516,543.526,74.0765,1046.51,3.6735,2.4592,2164.73,0.472041,0.48491,0.30359,0.389433,167.003,1.52949
180.386,0.197168,183.904,246.752,0.12813,249.001,10.4829,376.927,2.15728,1.92717,738.321,0.418289,0.423964,0.700361,0.802089,447.21,2.74249
232.894,-2.01522,889.156,185.383,-0.731701,237.62,13.0267,145.782,1.54972,1.36083,1077.65,0.0076286,0.722773,0,0.529957,252.89,2.52511
144.005,-1.12132,244.43,314.585,-1.19575,568.076,23.4395,651.33,2.39451,2.54064,143.711,0.327108,0.636353,0.496141,0.508739,371.87,3.92907
468.387,-1.33774,953.839,484.207,-0.631044,585.59,44.9913,662.431,1.95079,0.95936,1792.52,0.0134061,0.529468,0.503758,0.651771,512.114,3.12228
244.54,1.03386,387.294,445.041,-1.10947,753.642,90.2084,707.249,2.47496,2.23373,768.876,0.197296,0.299726,0.605453,0.776975,461.472,1.91854
207.677,-0.459087,229.949,167.715,-0.171089,173.36,33.0774,212.993,3.10746,3.00906,930.072,0.20958,0.575848,0.488501,0.594885,213.561,1.64093
233.108,-0.279474,242.271,255.338,0.531946,295.849,45.5344,195.349,2.19668,0.813614,1108.21,0.369703,0.391272,0.140535,0.704417,152.261,1.5566
144.233,-0.415342,156.854,241.221,-1.35472,499.282,26.6836,300.317,1.73492,1.01513,359.382,0.473056,0.645197,0.581944,0.639972,233.757,1.89596
254.528,1.60675,660.131,275.858,-1.81684,872.793,55.6742,524.37,2.30565,2.23079,233.605,0,0.114543,0.563919,0.767947,32.8457,0.026617
128.84,0.335755,136.17,134.426,-1.09689,224.588,19.5662,203.255,1.10375,2.74175,185.688,0.342501,0.391579,0.262301,0.619371,118.835,2.07102
